mfl_id,name,merge_name,position,team,gsis_id,pfr_id,fantasypros_id,pff_id,sleeper_id,sportradar_id,nfl_id,espn_id,yahoo_id,fleaflicker_id,cbs_id,rotowire_id,rotoworld_id,ktc_id,cfbref_id,stats_id,stats_global_id,fantasy_data_id,swish_id,birthdate,age,draft_year,draft_round,draft_pick,draft_ovr,alt_name,twitter_username,height,weight,college,db_season
15702,Tanner McKee,tanner mckee,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16686,NA,NA,NA,NA,0,NA,NA,2000-04-27,23,2023,NA,NA,NA,NA,NA,78,230,Stanford,2023
16148,Bryce Young,bryce young,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1456,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Alabama,2023
16149,Will Levis,will levis,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1402,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Kentucky,2023
16150,C.J. Stroud,cj stroud,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1403,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Ohio State,2023
16151,Hendon Hooker,hendon hooker,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1404,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Tennessee,2023
16152,Anthony Richardson,anthony richardson,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1405,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Florida,2023
16153,Stetson Bennett,stetson bennett,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Georgia,2023
16154,Jaren Hall,jaren hall,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1407,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,BYU,2023
16155,Max Duggan,max duggan,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1408,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,TCU,2023
16156,Jake Haener,jake haener,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Fresno State,2023
16157,Malik Cunningham,malik cunningham,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Louisville,2023
16158,Dorian Thompson-Robinson,dorian thompson-robinson,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,UCLA,2023
16159,Aidan O'Connell,aidan oconnell,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Purdue,2023
16160,Clayton Tune,clayton tune,QB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Houston,2023
16161,Bijan Robinson,bijan robinson,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1414,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Texas,2023
16162,Jahmyr Gibbs,jahmyr gibbs,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1415,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Alabama,2023
16163,Zach Evans,zach evans,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1416,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Mississippi,2023
16164,Tank Bigsby,tank bigsby,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1401,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Auburn,2023
16165,Tyjae Spears,tyjae spears,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1417,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Tulane,2023
16166,Sean Tucker,sean tucker,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Syracuse,2023
16167,Devon Achane,devon achane,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1398,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Texas A&M,2023
16168,Israel Abanikanda,israel abanikanda,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1383,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Pittsburgh,2023
16169,Zach Charbonnet,zach charbonnet,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1384,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,UCLA,2023
16170,Kenny McIntosh,kenny mcintosh,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1385,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Georgia,2023
16171,Kendre Miller,kendre miller,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1386,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,TCU,2023
16172,Mohamed Ibrahim,mohamed ibrahim,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1387,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Minnesota,2023
16173,Eric Gray,eric gray,RB,FA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1388,NA,NA,0,NA,NA,NA,NA,2023,NA,NA,NA,NA,NA,NA,NA,Oklahoma,2023
